ID,First,Last,Class,Major
63132,Amalia,Nguyen,Freshman,Stats
18496,Gabriel,Walter,Freshman,Data Science
59859,Penny,Oliver,Freshman,Actuarial Science
85574,Karson,Golden,Freshman,Stats
82774,Giuliana,Gentry,Freshman,Stats
62940,Magnus,McDowell,Freshman,Data Science
57652,Rayna,Chung,Freshman,Actuarial Science
98125,Ira,Shah,Freshman,Stats
41217,Angelica,Barnes,Freshman,Stats
11563,Damian,Lopez,Freshman,Data Science
24577,Gianna,Buckley,Sophomore,Stats
65081,Aryan,Zavala,Sophomore,Stats
33865,Liv,Hancock,Sophomore,Actuarial Science
87234,Rex,Castillo,Sophomore,Data Science
18717,Eva,Miller,Sophomore,Stats
80087,Benjamin,Schaefer,Sophomore,Stats
64104,Mavis,Wright,Sophomore,Actuarial Science
63529,Grayson,Stuart,Sophomore,Actuarial Science
20863,Stormi,Shepherd,Sophomore,Data Science
30231,Ronald,Johnston,Junior,Stats
93310,Laila,O’brien,Junior,Stats
99781,Riley,Arnold,Junior,Actuarial Science
18594,Finley,Frye,Junior,Stats
36487,Franco,Hawkins,Junior,Stats
65771,Ariel,Mendoza,Junior,Stats
27411,Dominic,Rodriguez,Junior,Data Science
36296,Evelyn,Gilmore,Junior,Stats
89991,Vihaan,Trejo,Junior,Actuarial Science
42641,Rosalyn,Colon,Junior,Actuarial Science
58560,Bruce,Page,Junior,Data Science
92257,Cataleya,Massey,Junior,Stats
79991,Donald,Kaur,Senior,Data Science
89209,Holland,Ingram,Senior,Actuarial Science
39250,Tripp,Arroyo,Senior,Stats
43477,Kyra,Clark,Senior,Data Science
27368,John,Rodgers,Senior,Actuarial Science
87174,Selah,Nolan,Senior,Stats
10836,Maximo,Tucker,Senior,Data Science
69323,Esther,Lugo,Senior,Stats
18042,Santos,Harrington,Senior,Actuarial Science
